Property_ID,District,Building_Type,Gross_Area_m2,Rooms,Bathrooms,Building_Age,Floor,Total_Floors,Heating_Type,Furnished_Status,Parking_Spaces,Balconies,In_Residential_Complex,View_Type,Distance_to_Center_km,Distance_to_Transit_km,Elevator,Security,Price_TL
HP-00001,Besiktas,Detached,229.2,7,3,11,0,10,,Unfurnished,0,2,No,Nature,10.49,1.53,Yes,Yes,25006714.64
HP-00002,Konyaalti,Apartment,80.7,2,1,12,17,23,Natural_Gas,Furnished,1,,No,Park,1.36,2.89,Yes,Yes,3940245.54
HP-00003,Karsiyaka,Apartment,75.9,2,1,4,13,16,Central,Unfurnished,1,1,Yes,Street,3.56,0.20,Yes,Yes,4164412.83
HP-00004,Besiktas,Apartment,85.9,2,1,7,16,24,Heat_Pump,Unfurnished,0,1,No,Nature,2.65,,No,Yes,7113984.62
HP-00005,Kadikoy,Apartment,159.8,5,2,23,16,28,Central,Unfurnished,1,2,No,City,5.28,2.98,Yes,Yes,11864496.20
HP-00006,Uskudar,Residence,55.8,2,1,15,12,21,Central,Semi_Furnished,0,0,No,Street,2.06,2.21,Yes,No,3272024.30
HP-00007,Beylikduzu,Villa,160.5,4,2,3,0,10,,Semi_Furnished,2,1,No,Park,17.14,0.43,Yes,Yes,9059295.83
HP-00008,Konyaalti,Apartment,133.6,3,1,0,13,23,Natural_Gas,Unfurnished,0,2,No,Nature,,1.75,Yes,No,6890190.17
HP-00009,Besiktas,Apartment,143.0,3,1,0,8,13,Natural_Gas,Unfurnished,1,0,No,City,7.34,1.20,Yes,No,13678875.57
HP-00010,Kadikoy,Apartment,249.4,6,2,38,13,25,Natural_Gas,Unfurnished,0,2,No,Street,4.27,1.22,No,Yes,12546605.79
HP-00011,Atasehir,Apartment,156.1,4,1,16,17,21,Electric,Furnished,1,1,No,Sea,,1.35,Yes,Yes,13886131.17
HP-00012,Beylikduzu,Detached,112.8,3,1,4,0,2,Natural_Gas,Furnished,1,2,Yes,Street,6.58,0.37,Yes,No,4512783.89
HP-00013,Konyaalti,Apartment,139.9,4,1,13,28,32,Central,Semi_Furnished,1,1,No,Street,9.99,1.42,Yes,No,6285105.77
HP-00014,Besiktas,Detached,282.7,7,2,6,0,12,Central,Semi_Furnished,1,2,No,Street,7.91,0.49,Yes,Yes,32292046.90
HP-00015,Uskudar,Apartment,119.0,4,2,0,16,18,Central,Furnished,1,1,No,Street,1.18,2.15,No,No,8506578.92
HP-00016,Beylikduzu,Detached,128.9,3,,14,0,13,Natural_Gas,Semi_Furnished,0,2,Yes,Nature,7.24,0.23,Yes,Yes,5442297.12
HP-00017,Atasehir,Detached,261.0,7,2,5,0,4,Natural_Gas,Unfurnished,1,0,Yes,Sea,6.06,1.01,Yes,Yes,33183219.24
HP-00018,Beylikduzu,Apartment,93.6,2,1,12,10,18,Central,Semi_Furnished,0,1,No,Street,6.72,2.61,Yes,Yes,2610516.56
HP-00019,Karsiyaka,Townhouse,148.7,5,2,4,16,23,Central,Semi_Furnished,0,1,Yes,Street,2.51,0.07,Yes,No,7937654.31
HP-00020,Kadikoy,Apartment,35.0,1,1,6,14,16,Natural_Gas,Furnished,0,2,No,City,9.79,1.22,No,No,7757371.58
HP-00021,Beylikduzu,Apartment,93.1,2,1,4,8,18,Natural_Gas,Unfurnished,1,1,Yes,Street,2.62,0.30,Yes,No,4092205.82
HP-00022,Uskudar,Apartment,106.6,3,1,20,7,11,Electric,Furnished,1,1,No,Street,2.32,0.66,Yes,Yes,5528485.22
