Applicant_ID,Age,Monthly_Income_TL,Employment_Type,Employment_Tenure_Years,Education_Level,Marital_Status,Dependents,City,Home_Ownership,Credit_Score,Existing_Monthly_Debt_TL,Requested_Loan_Amount_TL,Loan_Term_Months,Loan_Purpose,Late_Payments_Last_2Y,Has_Guarantor,Loan_Approved
LA-00001,66,79643.03,Public_Sector,21,Bachelor,Single,3,Bursa,Owner,548,23048.25,263505.91,48,Debt_Consolidation,0,No,No
LA-00002,27,57432.73,Private_Sector,2,Bachelor,Divorced,0,Izmir,Mortgage,760,19122.91,610091.54,60,Vehicle,0,No,Yes
LA-00003,22,65897.61,Freelancer,4,Bachelor,Married,1,Bursa,Rent,601,26877.13,258797.45,36,Home,3,No,No
LA-00004,66,43989.89,Freelancer,27,Bachelor,Single,3,Antalya,Mortgage,585,23128.23,255098.11,12,Business,2,No,Yes
LA-00005,68,60924.81,Freelancer,31,Master,Married,1,Konya,Mortgage,758,16737.50,361874.58,120,Vehicle,0,No,Yes
LA-00006,58,47455.03,Private_Sector,10,Bachelor,Single,1,Istanbul,Owner,652,9635.05,383663.49,24,Home,1,No,No
LA-00007,49,58225.56,Self_Employed,8,High_School,Divorced,1,Ankara,Rent,527,32474.12,255225.81,60,Business,0,No,No
LA-00008,41,113592.22,Self_Employed,7,Master,Single,3,Izmir,Mortgage,777,26620.15,747364.22,60,Business,0,No,Yes
LA-00009,31,58958.22,Private_Sector,8,High_School,Single,0,Konya,Owner,689,4065.63,112682.87,120,Vehicle,1,No,Yes
LA-00010,55,57034.36,,20,High_School,Married,3,Bursa,Rent,,34428.60,363853.26,120,Business,2,No,No
LA-00011,62,44024.10,Self_Employed,16,High_School,Married,1,Bursa,Owner,611,13356.44,1191074.94,84,Vehicle,3,No,No
LA-00012,33,138819.49,Public_Sector,1,Bachelor,Single,2,Ankara,Mortgage,683,24823.28,411325.27,36,Business,1,No,No
LA-00013,31,24068.05,Self_Employed,6,Master,Married,0,Izmir,Owner,671,3002.82,289174.01,24,Other,4,No,Yes
LA-00014,39,30957.32,Private_Sector,9,Bachelor,Widowed,4,Izmir,Family_Home,599,16627.78,307408.27,24,Business,0,Yes,No
LA-00015,50,67553.84,Private_Sector,11,High_School,Divorced,2,Antalya,Owner,691,18013.32,392827.33,120,Business,0,Yes,Yes
LA-00016,63,22778.00,Private_Sector,23,Associate,Married,3,Adana,Rent,619,,1237038.19,60,Business,0,No,No
LA-00017,36,56584.55,Public_Sector,6,Doctorate,Married,4,Konya,Mortgage,,24765.56,95130.22,48,Vehicle,0,Yes,No
LA-00018,69,33055.38,Freelancer,25,Master,Married,4,Gaziantep,Owner,,6289.29,192026.48,120,Other,0,No,Yes
LA-00019,43,16338.29,Private_Sector,,Associate,Married,1,Antalya,Owner,693,3861.69,238221.34,84,Home,4,Yes,Yes
LA-00020,47,57570.38,Public_Sector,11,Bachelor,Married,1,Konya,Owner,615,25980.80,57110.56,48,Other,0,Yes,Yes
LA-00021,40,84335.22,Private_Sector,5,Bachelor,Married,1,Antalya,Rent,655,,91471.33,120,Other,2,No,No
LA-00022,37,118482.38,Private_Sector,5,High_School,Married,0,Istanbul,Rent,656,38684.81,420236.89,24,Business,1,No,Yes
LA-00023,69,59090.52,Self_Employed,10,Master,Single,1,Gaziantep,Mortgage,659,29092.74,445313.61,48,Other,0,No,Yes
LA-00024,36,21098.34,Freelancer,2,Bachelor,Single,0,Konya,Owner,608,7384.96,631331.36,120,Debt_Consolidation,0,No,No
LA-00025,43,69046.67,Private_Sector,8,Associate,Single,4,Izmir,Rent,707,147215.38,112735.47,120,Other,0,No,No
LA-00026,33,69693.50,Freelancer,4,Master,Married,0,Ankara,Mortgage,656,39059.43,272488.15,48,Debt_Consolidation,,No,Yes
LA-00027,35,34012.31,Public_Sector,1,Associate,Divorced,1,Izmir,Mortgage,689,8775.79,175367.28,24,Debt_Consolidation,2,No,Yes
LA-00028,69,99539.13,Freelancer,24,High_School,Single,1,Istanbul,Family_Home,820,32968.39,132429.75,84,Vehicle,0,No,Yes
LA-00029,54,66154.17,Public_Sector,16,Bachelor,Single,0,Izmir,Mortgage,657,26059.53,457488.13,120,Debt_Consolidation,0,No,No
LA-00030,55,83841.95,Private_Sector,13,Associate,Single,1,Ankara,Mortgage,715,45377.89,61964.38,36,Vehicle,0,Yes,Yes
LA-00031,29,70025.22,Private_Sector,8,Bachelor,Married,2,Izmir,Rent,718,19150.32,716449.24,24,Vehicle,3,No,No
LA-00032,58,90664.07,Public_Sector,21,Master,Married,2,Antalya,Rent,561,27841.83,529296.50,60,Debt_Consolidation,0,No,Yes
LA-00033,51,23976.14,Private_Sector,14,Bachelor,Divorced,0,Ankara,Rent,646,13839.46,457843.16,12,Other,0,Yes,No
LA-00034,40,48867.74,Public_Sector,1,Bachelor,Married,3,Adana,Rent,731,11791.71,877205.26,12,Debt_Consolidation,0,No,No
LA-00035,48,88023.00,Private_Sector,12,Bachelor,Divorced,2,Antalya,Mortgage,670,29487.71,266818.93,24,Business,0,No,Yes
LA-00036,44,47680.66,Public_Sector,17,Bachelor,Single,2,Bursa,Mortgage,770,29211.21,728854.42,48,Debt_Consolidation,0,No,Yes
LA-00037,43,77161.10,Self_Employed,9,Master,Single,1,Antalya,Mortgage,759,3861.11,127018.40,48,Debt_Consolidation,0,No,Yes
LA-00038,41,34455.32,Private_Sector,0,Bachelor,Married,2,Konya,Rent,701,4114.56,166422.66,84,Home,0,No,Yes
LA-00039,68,50633.78,Freelancer,17,Bachelor,Married,2,Bursa,Mortgage,764,29520.79,328103.25,24,Debt_Consolidation,,No,Yes
LA-00040,40,48607.02,Self_Employed,14,Associate,Married,4,Gaziantep,Mortgage,688,5422.25,191887.04,84,Education,0,No,Yes
LA-00041,30,22291.31,Freelancer,3,Doctorate,Married,3,Konya,Rent,570,10988.40,40584.19,84,Business,1,Yes,No
LA-00042,37,43722.34,Private_Sector,12,Master,Married,5,Bursa,Family_Home,398,2711.87,178710.64,84,Vehicle,0,Yes,No
LA-00043,62,107130.39,Freelancer,15,High_School,Married,0,Konya,Owner,814,48700.92,582637.46,36,Business,0,No,Yes
LA-00044,41,94146.02,Private_Sector,15,High_School,Divorced,2,Konya,Family_Home,776,44457.45,858273.78,24,Vehicle,1,No,Yes
LA-00045,39,41929.95,Private_Sector,8,Bachelor,Single,2,Izmir,Mortgage,445,13875.72,256289.89,36,Business,1,No,No
LA-00046,54,134624.22,Private_Sector,11,Associate,Single,1,Bursa,Rent,815,70138.32,210782.12,60,Other,3,No,Yes
LA-00047,63,44521.26,Freelancer,17,Master,Married,,Istanbul,Rent,593,22004.34,62768.90,24,Other,1,No,No
LA-00048,69,109094.98,Self_Employed,18,Master,Married,0,Konya,Mortgage,801,50879.83,602432.01,84,Debt_Consolidation,0,No,No
LA-00049,48,91625.81,Private_Sector,4,Associate,Married,2,Antalya,Rent,637,12953.40,572667.31,60,Other,0,No,Yes
LA-00050,53,69467.13,Public_Sector,17,Master,Married,2,Konya,Rent,601,6978.30,155884.40,24,Debt_Consolidation,0,No,No
LA-00051,34,25671.95,Private_Sector,7,Associate,Single,2,Bursa,Owner,592,11398.67,253089.95,84,Other,0,No,No
LA-00052,37,58871.98,Freelancer,1,Associate,Married,1,Antalya,Rent,606,11521.78,379194.51,120,Other,1,No,No
LA-00053,52,134750.28,Private_Sector,13,Bachelor,Single,0,Adana,Rent,,75442.76,501328.34,48,Education,1,No,Yes
LA-00054,31,28292.81,Private_Sector,13,Bachelor,Married,5,Ankara,Owner,667,6918.23,114477.51,60,Education,1,No,Yes
LA-00055,56,45124.31,Private_Sector,11,Bachelor,Single,1,Adana,Owner,808,24314.80,64254.04,12,Home,0,No,Yes
LA-00056,69,46110.64,Freelancer,18,Doctorate,Married,0,Istanbul,Owner,535,3830.46,66054.35,12,Education,1,No,No
LA-00057,27,50721.74,Freelancer,2,Associate,Single,0,Antalya,Mortgage,682,9212.92,170114.02,36,Other,0,No,Yes
LA-00058,61,52835.59,Public_Sector,18,Master,Single,0,Izmir,Mortgage,729,23783.15,270020.44,24,Education,0,No,Yes
LA-00059,34,59544.01,Private_Sector,8,Bachelor,Single,4,Gaziantep,Rent,,4551.70,60633.26,84,Vehicle,1,No,No
LA-00060,65,59318.67,Private_Sector,23,Master,Married,2,Antalya,Owner,649,6193.52,1617533.72,84,Home,2,No,No
LA-00061,50,67211.50,Self_Employed,14,Associate,Married,0,Ankara,Rent,721,33349.90,597675.51,12,Education,1,Yes,No
LA-00062,53,47829.91,Freelancer,14,Master,Single,0,Gaziantep,Rent,700,20678.81,376839.46,12,Other,0,No,No
LA-00063,34,36943.09,Private_Sector,0,Bachelor,Single,1,Ankara,Rent,593,20573.10,69906.52,84,Home,0,Yes,No
LA-00064,61,56077.35,Self_Employed,12,Master,Married,3,Bursa,Rent,668,,194610.93,36,Education,1,No,No
LA-00065,41,28724.83,Public_Sector,2,Bachelor,Single,2,Antalya,Mortgage,470,3371.30,90248.46,24,Business,5,No,No
LA-00066,36,37765.81,Private_Sector,14,Bachelor,Married,1,Antalya,Rent,677,10240.66,236071.53,24,Other,0,Yes,Yes
LA-00067,63,65820.41,Retired,14,Master,Divorced,1,Izmir,Rent,,10662.42,231319.60,36,Debt_Consolidation,1,No,No
LA-00068,46,64292.82,Private_Sector,9,High_School,Single,4,Antalya,Owner,723,38904.96,60029.64,12,Debt_Consolidation,0,No,Yes
LA-00069,38,44715.50,Self_Employed,2,High_School,Married,1,Izmir,Owner,563,25722.48,343508.14,84,Education,0,No,Yes
LA-00070,32,44119.86,Public_Sector,6,Master,Married,1,Izmir,Mortgage,710,20094.17,449963.14,60,Business,0,No,No
LA-00071,63,31645.74,Private_Sector,20,High_School,Single,0,Bursa,Rent,736,15948.08,38918.20,84,Vehicle,1,Yes,Yes
LA-00072,26,34783.88,Freelancer,6,High_School,Single,0,Adana,Mortgage,642,3174.96,1460868.76,60,Debt_Consolidation,1,No,No
LA-00073,28,58527.51,Private_Sector,3,Master,Married,3,Antalya,Mortgage,574,10536.71,625169.82,12,Other,2,No,No
LA-00074,48,47458.70,Retired,11,Bachelor,Married,0,Bursa,Owner,605,16400.11,550900.91,60,Debt_Consolidation,0,No,No
