Customer_ID,Age,Gender,Marital_Status,Education_Level,Employment_Type,Annual_Income,Monthly_Debt,Credit_Score,Credit_History_Years,Num_Credit_Cards,Num_Late_Payments,Loan_Amount,Loan_Term_Months,Interest_Rate,Existing_Loans,Savings_Balance,Checking_Balance,Home_Ownership,Dependents,Years_at_Current_Job,Region,Monthly_Expenses,Debt_to_Income_Ratio,Utilization_Rate,Recent_Credit_Inquiries,Has_CoSigner,Previous_Default,Default
CUST-000001,30,Female,Single,Master,Salaried,51381.72,642.12,662.0,9.5,4,2,31473.5,24,5.69,0,,5478.05,,1,0.7,North,1549.55,0.15,0.4865,2,No,0,0
CUST-000002,58,Male,Married,Bachelor,Salaried,53626.86,1727.29,705.0,37.6,2,0,14568.87,36,2.51,2,11521.16,3336.07,Mortgage,2,,North,2225.68,0.3865,0.4578,1,No,0,0
CUST-000003,42,Female,Married,High School,Salaried,19289.48,945.95,635.0,17.8,2,1,60583.3,12,8.78,1,1529.81,2165.44,Rent,2,2.4,South,1017.09,0.5885,0.1824,1,Yes,0,1
CUST-000004,37,Male,Single,,Unemployed,19593.81,848.4,,17.2,2,0,31383.8,60,6.43,1,7121.24,524.02,Mortgage,1,1.5,West,698.54,0.5196,0.7927,2,Yes,0,1
CUST-000005,53,Female,Single,Associate,Unemployed,8558.69,364.94,753.0,30.1,5,0,27761.9,36,2.5,3,1460.75,1143.47,Mortgage,0,2.6,South,350.0,0.5117,0.6196,1,No,0,1
CUST-000006,48,Male,Married,High School,Self-employed,16499.47,654.68,687.0,27.6,7,0,10192.5,36,6.05,2,4614.56,1770.98,Own,1,10.4,East,587.38,0.4761,0.5509,1,No,0,0
CUST-000007,19,Female,Married,Bachelor,Contract,75576.03,1375.52,775.0,0.0,2,0,38640.81,84,5.17,2,5635.35,2226.31,Rent,2,0.5,West,2855.31,0.2184,0.3321,2,No,0,0
CUST-000008,39,Male,Single,High School,Self-employed,277778.25,1575.2,748.0,18.9,5,1,2499.32,36,3.69,0,2525.42,4009.45,Mortgage,0,5.3,East,1867.64,0.3938,0.1764,3,No,0,0
CUST-000009,62,Female,Single,High School,Unemployed,14605.69,837.03,644.0,42.2,5,4,15919.52,84,9.09,5,4948.63,-745.32,Mortgage,0,3.0,West,522.6,0.6877,0.4441,2,No,0,1
CUST-000010,44,Male,Divorced,Bachelor,Salaried,32175.86,426.27,714.0,21.0,0,0,12797.12,60,3.76,0,6375.22,353.63,Own,0,10.7,East,730.31,0.159,0.4779,1,No,0,0
CUST-000011,65,Female,Single,Bachelor,Salaried,59611.84,2049.32,785.0,43.9,3,0,15607.8,60,2.5,1,2684.36,-3500.0,Own,0,6.4,South,4412.54,0.4125,0.3622,1,No,0,0
CUST-000012,18,Male,Married,Bachelor,Self-employed,50864.34,896.81,796.0,0.0,4,0,15475.24,60,5.71,1,13203.23,2669.37,Own,2,0.0,South,918.5,0.2116,0.1866,2,Yes,0,0
CUST-000013,47,Female,Married,Bachelor,Salaried,38730.38,1298.43,552.0,25.2,3,4,22977.72,84,14.75,1,3209.25,2079.51,Rent,3,11.4,Central,3351.65,0.4023,0.7709,1,Yes,1,0
CUST-000014,29,Female,Single,Master,Salaried,58937.84,995.82,696.0,9.0,5,2,44957.83,84,7.19,0,,5942.97,Mortgage,0,0.9,West,1438.39,0.2028,0.8719,1,No,0,0
CUST-000015,33,Female,Married,Bachelor,Self-employed,115115.61,2357.87,735.0,8.0,0,0,17771.06,12,7.75,1,81799.42,641.75,Rent,2,6.6,Central,6814.0,0.2458,0.5339,1,No,0,0
CUST-000016,46,Male,Single,Master,Salaried,103113.89,962.79,756.0,20.3,6,1,20055.46,36,2.84,1,5764.39,6795.07,,0,20.7,South,4938.72,0.112,0.3595,0,No,0,0
CUST-000017,44,Male,Single,Bachelor,Salaried,55178.62,1709.28,732.0,23.3,0,0,23223.34,60,3.61,3,7460.08,3381.97,Mortgage,1,7.8,South,1623.25,0.3717,0.6959,4,Yes,0,0
CUST-000018,31,Male,Married,High School,Contract,28366.58,485.16,741.0,11.2,5,0,17358.77,36,2.97,1,1279.59,813.22,Rent,1,1.7,North,1131.28,0.2052,0.6483,1,No,0,0
CUST-000019,55,Male,Single,Bachelor,Contract,63621.61,2340.69,596.0,35.5,3,3,13263.46,48,11.21,1,8154.78,-762.04,Own,0,18.3,East,1814.51,0.4415,0.4971,1,No,1,1
CUST-000020,48,Female,Single,Master,Salaried,53149.0,1376.42,643.0,20.9,2,1,15221.1,24,4.38,1,14891.24,1859.02,Mortgage,1,7.4,North,3176.09,0.3108,0.4809,1,No,0,0
CUST-000021,30,Female,Married,Bachelor,Salaried,89063.8,478.75,679.0,9.7,1,1,14414.96,84,7.13,0,37879.36,9676.48,Rent,3,9.2,West,3141.33,0.0645,0.8465,2,No,0,0
CUST-000022,36,Female,Single,Master,Contract,80694.5,1092.62,689.0,10.2,2,1,30406.97,48,5.99,5,9675.48,1135.34,Rent,0,7.3,West,1168.59,0.1625,0.2304,1,No,0,1
CUST-000023,50,Male,Married,Bachelor,Salaried,38418.11,1291.2,682.0,30.2,0,0,31848.95,60,8.41,0,1574.37,1811.09,Rent,2,17.9,South,1427.18,0.4033,0.4723,0,No,0,0
CUST-000024,48,Male,Divorced,Master,Salaried,213390.27,3544.08,714.0,25.1,4,0,55209.0,24,5.29,4,18047.86,7384.34,Other,0,,North,11361.76,0.1993,0.5436,3,No,0,1
CUST-000025,39,Female,Married,Associate,Self-employed,86338.23,2428.06,731.0,17.8,4,0,24258.02,24,3.66,1,29032.8,7962.75,Mortgage,1,8.4,West,3088.06,0.3375,0.5069,3,No,0,0
CUST-000026,35,Female,Single,Bachelor,Self-employed,88289.59,977.13,736.0,16.6,5,0,4510.03,60,4.98,1,11663.39,8396.88,Rent,2,10.7,South,1871.41,0.1328,0.1284,2,No,0,0
CUST-000027,26,Female,Single,Master,Salaried,142389.46,4032.02,667.0,0.0,5,0,7371.98,60,5.94,0,1735.7,12483.66,Other,1,3.4,North,3305.17,0.3398,0.4301,5,Yes,0,0
CUST-000028,36,Male,Single,Master,Self-employed,82196.34,3865.99,683.0,11.3,1,2,16210.85,60,2.86,3,2831.58,6230.74,Own,0,14.7,North,2399.66,0.5644,0.5144,3,Yes,0,0
CUST-000029,33,Male,Married,Master,Self-employed,57608.83,1408.88,699.0,8.4,2,2,24626.41,36,8.9,1,1168.6,449.96,Own,4,2.3,South,2031.65,0.2935,0.4877,0,No,0,0
CUST-000030,43,Male,Married,High School,Salaried,25104.6,1008.83,696.0,21.9,5,1,15293.45,60,5.01,1,16695.74,468.05,Rent,1,8.1,South,818.05,0.4822,0.2597,1,No,0,0
CUST-000031,34,Male,Married,High School,Self-employed,36586.98,1799.83,712.0,11.7,9,1,32179.13,48,3.75,1,4135.05,4343.35,Mortgage,1,4.6,East,2199.33,0.5903,0.6207,2,Yes,0,0
CUST-000032,51,Female,Married,High School,Self-employed,63308.42,1167.6,755.0,30.0,3,0,41624.61,48,4.06,3,2462.07,3905.06,Own,1,15.2,East,4385.02,0.2213,0.199,3,No,0,0
CUST-000033,40,Male,Single,Bachelor,Salaried,24813.9,1221.49,723.0,12.0,5,1,22139.98,24,3.18,1,844.25,1825.68,Mortgage,1,13.4,North,1318.59,0.5907,0.3269,1,No,0,1
CUST-000034,40,Male,Married,Bachelor,Salaried,34975.63,1488.42,779.0,15.2,3,0,5555.13,72,5.63,2,11092.09,2639.52,Rent,3,11.4,West,1818.19,0.5107,0.5146,1,No,0,0
CUST-000035,41,Male,Married,Associate,Salaried,22698.27,1148.17,691.0,21.1,1,2,83141.99,84,3.75,2,0.0,-440.55,Mortgage,3,15.7,North,1229.63,0.607,0.3209,1,No,0,0
CUST-000036,51,Female,Divorced,High School,Salaried,59379.49,761.5,687.0,29.4,3,1,29685.37,60,6.78,0,3569.39,-431.82,Other,0,23.1,East,1065.23,0.1539,0.3198,0,Yes,0,1
CUST-000037,38,Male,Single,Bachelor,Salaried,29851.18,8132.46,671.0,17.3,4,1,27632.58,60,4.05,3,4018.6,1878.63,Rent,2,7.4,West,843.24,0.7645,0.6833,2,Yes,0,0
CUST-000038,44,Male,Married,High School,Salaried,46149.95,1133.86,803.0,23.5,8,0,16776.42,60,2.53,3,1179.94,-744.64,Mortgage,2,22.4,South,1081.98,0.2948,0.0882,0,No,0,0
CUST-000039,43,Male,Single,Bachelor,Salaried,64977.57,914.2,784.0,23.4,2,0,40357.14,24,4.66,1,2742.13,697.89,Own,0,9.4,North,1696.95,0.1688,0.4238,1,Yes,0,0
CUST-000040,51,Non-binary,Single,Associate,Salaried,51234.94,1165.6,706.0,31.4,4,0,14805.04,36,7.07,0,1146.93,505.77,Mortgage,0,8.7,Central,2135.49,0.273,0.4446,1,No,0,0
CUST-000041,31,Male,Divorced,Bachelor,Retired,55199.53,1250.67,765.0,4.7,0,1,12298.95,36,3.04,1,,-1074.07,Mortgage,0,7.7,South,1080.95,0.2719,0.5403,1,No,0,0
CUST-000042,46,Male,Married,Master,Salaried,68797.34,3244.08,704.0,23.8,2,1,20336.06,24,4.6,1,4726.98,1171.13,Mortgage,1,1.2,East,1208.71,0.5658,0.393,3,No,0,1
