customer_id,age,annual_income,debt_to_income,credit_score,employment_years,loan_amount,loan_term_months,late_payments_24m,credit_utilization,region,employment_type,education_level,home_ownership,loan_purpose,device_type,application_hour,default_risk
CUST-00001,30,88055,0.348,684,0.7,38701,36,0,0.000,Marmara,Maasli,Yuksek Lisans,,Is Kurma,Android,14,0
CUST-00002,18,70131,0.400,688,1.5,13894,48,1,0.154,Dogu Anadolu,Maasli,Lisans,Ev Sahibi,Ihtiyac,Android,5,0
CUST-00003,28,49552,0.625,,0.0,14345,48,7,0.753,Ic Anadolu,Issiz,Onlisans,Ipotekli,Ihtiyac,Android,15,1
CUST-00004,50,42547,0.193,647,20.3,14969,60,0,0.282,Marmara,Serbest,Lisans,Kiraci,Tasit,Android,22,0
CUST-00005,39,65171,0.296,653,10.8,73373,60,2,0.490,Ege,Serbest,Lisans,Kiraci,Konut,iOS,22,0
CUST-00006,20,39107,0.510,624,1.8,7528,12,4,0.863,Karadeniz,Sozlesmeli,Onlisans,Kiraci,Borc Birlestirme,iOS,18,0
CUST-00007,45,44900,0.068,699,4.5,14153,120,2,0.517,Karadeniz,Maasli,Lise,Kiraci,Borc Birlestirme,Android,0,0
CUST-00008,45,180269,0.351,659,0.0,25816,84,5,0.280,Marmara,Issiz,Lisans,Kiraci,Ihtiyac,Android,1,1
CUST-00009,58,37572,0.187,709,1.5,17615,48,2,0.335,Ic Anadolu,Maasli,Onlisans,Kiraci,Ihtiyac,Android,16,0
CUST-00010,51,48019,0.361,630,3.7,9473,36,1,0.387,Marmara,Maasli,Lisans,Kiraci,Saglik,,20,0
CUST-00011,33,54665,0.073,639,7.4,22528,36,1,0.567,Ic Anadolu,Maasli,Lise,Ev Sahibi,Borc Birlestirme,Web,8,0
CUST-00012,63,53826,0.245,661,16.0,11887,60,0,0.602,Ic Anadolu,Maasli,Onlisans,Kiraci,Tasit,iOS,15,0
CUST-00013,41,66883,0.299,674,15.0,12073,36,1,0.491,Marmara,Maasli,Lisans,Kiraci,Ihtiyac,Android,7,0
CUST-00014,41,36060,0.272,612,5.1,44107,36,0,0.385,Karadeniz,Maasli,Lisans,Kiraci,Konut,Android,20,0
CUST-00015,41,21088,,664,0.8,5000,48,3,0.302,Marmara,Maasli,Lise,Ev Sahibi,Is Kurma,Web,6,0
CUST-00016,63,57149,0.270,681,17.6,14247,60,0,0.057,Marmara,Serbest,,Aile Yaninda,Egitim,Android,23,0
CUST-00017,40,62749,0.220,653,14.6,36055,84,2,0.770,Ege,Emekli,Lisans,Ev Sahibi,Ihtiyac,Android,13,0
CUST-00018,38,16134,0.066,667,12.6,9591,36,3,0.265,Ic Anadolu,Emekli,Lise,Aile Yaninda,Ihtiyac,Android,18,0
CUST-00019,18,,0.229,660,0.5,5000,60,3,0.469,Ic Anadolu,Maasli,Doktora,Kiraci,Egitim,Android,9,0
CUST-00020,50,43499,0.208,624,11.8,15434,48,0,0.533,Ege,Serbest,Onlisans,Ev Sahibi,Ihtiyac,Web,12,0
CUST-00021,55,84426,0.667,659,32.2,22635,24,3,0.795,Karadeniz,Serbest,Lisans,Ipotekli,Tasit,Android,8,1
CUST-00022,18,32896,0.200,684,1.4,11369,36,0,0.472,Marmara,Maasli,Yuksek Lisans,Ev Sahibi,Tasit,Android,13,0
CUST-00023,18,54634,0.304,648,1.3,32992,60,3,0.392,Dogu Anadolu,Serbest,Lisans,Kiraci,Ihtiyac,Android,11,1
CUST-00024,54,96388,0.167,628,22.5,20894,60,2,0.000,Marmara,Maasli,Yuksek Lisans,Ev Sahibi,Ihtiyac,Android,9,0
CUST-00025,39,42672,0.627,598,0.0,21952,24,2,0.299,Ege,Issiz,Onlisans,Kiraci,Borc Birlestirme,Android,8,0
CUST-00026,49,26465,0.220,645,10.1,11460,48,1,0.459,Ic Anadolu,Maasli,Onlisans,Ipotekli,Borc Birlestirme,Android,10,0
CUST-00027,28,40768,0.239,661,5.3,15301,24,0,0.350,Karadeniz,Serbest,Lisans,Kiraci,Ihtiyac,Android,20,0
CUST-00028,38,69433,0.262,725,17.5,32359,48,4,0.569,Marmara,Maasli,Lise,Ipotekli,Tasit,Android,11,0
CUST-00029,18,62226,,642,0.0,16011,12,1,0.374,Marmara,Maasli,Lisans,Kiraci,Is Kurma,Android,9,0
CUST-00030,35,38613,0.245,660,4.6,9610,60,0,0.717,Ege,Maasli,Lise,Ev Sahibi,Is Kurma,Web,20,0
CUST-00031,23,45368,0.472,590,0.0,26381,24,6,0.000,Marmara,Issiz,Lisans,Ev Sahibi,Ihtiyac,iOS,7,1
CUST-00032,48,192224,0.095,699,19.9,228447,60,0,0.332,Marmara,Maasli,Lisans,Kiraci,Konut,iOS,3,0
CUST-00033,33,93225,0.330,644,8.5,43907,36,1,0.553,Marmara,Maasli,Onlisans,Ipotekli,Borc Birlestirme,Web,8,1
CUST-00034,22,30015,0.233,616,2.1,13048,36,1,0.288,Ege,Maasli,Lisans,Kiraci,Tasit,Android,19,0
CUST-00035,19,38636,0.364,704,0.9,12407,120,0,0.684,Ege,Maasli,Onlisans,Ipotekli,Tasit,iOS,1,0
CUST-00036,43,72674,0.484,638,6.3,26001,36,1,0.525,Akdeniz,,Lisans,Aile Yaninda,Borc Birlestirme,Android,22,0
CUST-00037,33,34301,0.040,643,8.1,12046,48,0,0.360,Dogu Anadolu,Maasli,Lise,Ev Sahibi,Tasit,Android,19,0
CUST-00038,34,41760,0.323,650,0.0,12695,36,4,0.562,Dogu Anadolu,Issiz,Onlisans,Kiraci,Ihtiyac,Android,5,0
CUST-00039,37,62430,0.527,661,19.0,11027,48,2,0.674,Ic Anadolu,Maasli,Lise,Ipotekli,Borc Birlestirme,Android,4,0
